"code","name","day","unitNetWorth","dayOfGrowth","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"010313","上银鑫恒混合",,"1.0274","","1.76","","","","","","","2.74",""
"010312","中银金融地产混合C",,"1.5204","0.86","2.18","","","","","","","0.42",""
"010311","中银量化价值混合C",,"1.4622","1.42","2.06","","","","","","","4.57",""
"010308","东财信息产业精选混合C",,"0.9749","2.24","0.71","","","","","","","-2.51",""
"010307","东财信息产业精选混合A",,"0.9762","2.24","0.72","","","","","","","-2.38",""
"010306","华夏创新驱动混合C",,"0.9936","","0.47","","","","","","","-0.64",""
"010305","华夏创新驱动混合A",,"0.9947","","0.47","","","","","","","-0.53",""
"010304","华泰柏瑞量化创盈混合C",,"0.9993","","0.00","","","","","","","-0.07",""
"010303","华泰柏瑞量化创盈混合A",,"1.0002","","0.01","","","","","","","0.02",""
"010302","达诚成长先锋混合C",,"1.0373","","2.57","","","","","","","3.73",""
"010301","达诚成长先锋混合A",,"1.0377","","2.58","","","","","","","3.77",""
"010300","南方产业升级混合C",,"1.0287","","2.10","","","","","","","2.87",""
"010299","南方产业升级混合A",,"1.0290","","2.11","","","","","","","2.90",""
"010297","万家互联互通中国优势C",,"1.0685","","3.29","","","","","","","6.85",""
"010296","万家互联互通中国优势A",,"1.0693","","3.30","","","","","","","6.93",""
"010293","华商量化优质精选混合",,"1.0061","","0.95","","","","","","","0.61",""
"010292","东方红核心优选定开混合C",,"1.1759","","0.16","","","","","","","1.35",""
"010291","华泰柏瑞研究精选C",,"1.6183","2.03","1.98","","","","","","","6.38",""
"010287","海富通成长价值混合C",,"0.9971","","-0.22","","","","","","","-0.29",""
"010286","海富通成长价值混合A",,"0.9973","","-0.20","","","","","","","-0.27",""
"010283","中信建投智享生活混合C",,"0.9957","-0.17","-0.25","","","","","","","-0.43",""
"010282","中信建投智享生活混合A",,"0.9963","-0.17","-0.25","","","","","","","-0.37",""
"010276","嘉实优质精选混合C",,"1.0686","","3.58","","","","","","","6.86",""
"010275","嘉实优质精选混合A",,"1.0688","","3.59","","","","","","","6.88",""
"010274","嘉实价值长青混合C",,"1.0006","0.06","","","","","","","","0.06",""
"010273","嘉实价值长青混合A",,"1.0006","0.06","","","","","","","","0.06",""
"010272","国富价值成长一年持有期混合C",,"1.0445","1.63","2.22","","","","","","","4.45",""
"010271","国富价值成长一年持有期混合A",,"1.0452","1.63","2.24","","","","","","","4.52",""
"010269","太平睿安混合C",,"1.0220","0.81","1.27","","","","","","","2.20",""
"010268","太平睿安混合A",,"1.0227","0.82","1.28","","","","","","","2.27",""
"010267","兴全安泰养老五年持有混合(FOF)",,"1.0015","","0.24","","","","","","","0.15",""
"010266","兴全安泰稳健养老一年持有混合(FOF)",,"1.0037","","0.28","","","","","","","0.37",""
"010265","鹏华成长智选混合C",,"1.0010","","0.11","","","","","","","0.10",""
"010264","鹏华成长智选混合A",,"1.0024","","0.12","","","","","","","0.24",""
"010257","天弘多利一年",,"1.0017","","0.12","","","","","","","0.17",""
"010246","华泰柏瑞量化先行混合C",,"1.8070","0.89","-0.55","-0.11","","","","","","0.67",""
"010244","平安瑞尚六个月持有混合C",,"1.0028","","","","","","","","","0.28",""
"010243","平安稳健增长混合C",,"","","","","","","","","","",""
"010242","平安稳健增长混合A",,"","","","","","","","","","",""
"010239","平安瑞尚六个月持有混合A",,"1.0029","","","","","","","","","0.29",""
"010238","安信创新先锋混合发起C",,"0.9712","","1.54","","","","","","","-2.88",""
"010237","安信创新先锋混合发起A",,"0.9719","","1.55","","","","","","","-2.81",""
"010234","华泰柏瑞量化增强混合C",,"1.6020","1.14","1.46","4.36","","","","","","4.98",""
"010225","东方红启航三年持有混合B",,"5.1050","3.01","2.57","","","","","","","9.72",""
"010221","海富通消费核心混合C",,"1.0015","","-0.35","","","","","","","0.15",""
"010220","海富通消费核心混合A",,"1.0026","","-0.34","","","","","","","0.26",""
"010216","中欧达益稳健一年混合C",,"1.0091","","0.50","","","","","","","0.91",""
"010215","中欧达益稳健一年混合A",,"1.0100","","0.51","","","","","","","1.00",""
"010214","中欧互联网先锋混合C",,"1.0971","2.96","3.52","","","","","","","9.71",""
"010213","中欧互联网先锋混合A",,"1.0983","2.95","3.54","","","","","","","9.83",""
"010212","景顺长城顺鑫回报混合C",,"1.0230","0.30","0.59","2.30","","","","","","2.30",""
"010211","景顺长城顺鑫回报混合A",,"1.0227","0.30","0.59","2.27","","","","","","2.27",""
"010201","农银汇理智增一年定开混合",,"1.0111","","0.20","","","","","","","1.11",""
"010195","博时睿祥15个月定开混合C",,"1.0046","","0.47","","","","","","","0.46",""
"010194","博时睿祥15个月定开混合A",,"1.0048","","0.48","","","","","","","0.48",""
"010193","农银养老2045五年持有混合(FOF)",,"1.0048","0.13","-0.12","","","","","","","0.48",""
"010189","中欧添益一年混合C",,"1.0125","","0.78","","","","","","","1.25",""
"010188","中欧添益一年混合A",,"1.0136","","0.79","","","","","","","1.36",""
"010187","嘉实核心成长混合C",,"1.0382","","2.32","","","","","","","3.82",""
"010186","嘉实核心成长混合A",,"1.0389","","2.32","","","","","","","3.89",""
"010182","兴业优势产业混合C",,"1.0526","","2.30","","","","","","","5.26",""
"010181","兴业优势产业混合A",,"1.0539","","2.31","","","","","","","5.39",""
"010177","中加新兴消费混合C",,"1.0343","","2.18","","","","","","","3.43",""
"010176","中加新兴消费混合A",,"1.0345","","2.19","","","","","","","3.45",""
"010172","中银新回报灵活配置混合C",,"1.7160","0.35","0.70","2.75","","","","","","2.39",""
"010171","中银证券鑫瑞6个月持有C",,"1.0130","0.28","0.39","","","","","","","1.30",""
"010170","中银证券鑫瑞6个月持有A",,"1.0134","0.28","0.40","","","","","","","1.34",""
"010167","中银多策略混合C",,"1.3570","0.37","0.67","2.57","","","","","","2.11",""
"010159","中银医疗保健混合C",,"2.8844","1.75","2.20","6.51","","","","","","4.71",""
"010156","长盛核心成长混合C",,"1.1002","2.17","1.93","9.92","","","","","","10.02",""
"010155","长盛核心成长混合A",,"1.1014","2.18","1.93","10.04","","","","","","10.14",""
"010152","东财消费精选混合C",,"1.1163","1.41","1.98","11.64","","","","","","11.63",""
"010151","东财消费精选混合A",,"1.1187","1.41","2.00","11.87","","","","","","11.87",""
"010147","博道嘉兴一年持有期混合",,"1.0788","1.15","","","","","","","","7.88",""
"010143","交银施罗德启欣混合",,"1.0119","","0.39","","","","","","","1.19",""
"010138","华泰柏瑞量化创享混合C",,"1.0000","","","","","","","","","0.00",""
"010137","华泰柏瑞量化创享混合A",,"1.0000","","","","","","","","","0.00",""
"010136","泰达高研发创新6个月混合C",,"0.9359","1.26","0.94","-6.21","","","","","","-6.41",""
"010135","泰达高研发创新6个月混合A",,"0.9367","1.26","0.95","-6.14","","","","","","-6.33",""
"010134","广发新经济混合C",,"4.8685","3.59","3.89","11.54","","","","","","12.69",""
"010133","南方创新成长混合C",,"1.0686","2.85","2.64","6.89","","","","","","6.86",""
"010132","南方创新成长混合A",,"1.0704","2.84","2.65","7.05","","","","","","7.04",""
"010131","海富通惠增一年定开混合C",,"1.0257","","0.97","2.57","","","","","","2.57",""
"010130","海富通惠增一年定开混合A",,"1.0266","","0.98","2.65","","","","","","2.66",""
"010127","平安价值成长混合C",,"1.1047","2.67","2.81","10.54","","","","","","10.47",""
