"code","name","day","unitNetWorth","dayOfGrowth","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"005998","嘉实深证基本面120联接C",,"1.5091","1.00","1.36","11.24","22.98","21.95","79.25","","21.48","49.86",""
"005994","国投中证500指数量化增强A",,"1.8851","1.10","-0.71","2.97","20.74","42.00","93.32","","41.10","88.51",""
"005983","上投摩根核心精选",,"1.9473","1.76","0.51","4.67","25.24","49.14","94.54","","47.59","94.73",""
"005970","国泰消费优选股票",,"1.8454","1.72","0.79","3.55","28.21","52.49","","","51.95","84.54",""
"005969","创金合信工业周期股票C",,"2.7162","2.08","2.17","34.10","79.37","127.01","250.39","","126.52","171.62",""
"005968","创金合信工业周期股票A",,"2.7635","2.08","2.18","34.33","79.99","128.58","254.93","","128.09","176.35",""
"005966","安信中证500指数增强C",,"1.6931","1.23","0.06","1.74","9.01","30.82","69.11","","30.07","69.31",""
"005965","安信中证500指数增强A",,"1.7073","1.23","0.06","1.84","9.23","31.34","70.47","","30.59","70.73",""
"005963","宝盈人工智能股票C",,"2.6990","2.41","0.45","9.28","15.06","58.91","185.88","","59.12","169.90",""
"005962","宝盈人工智能股票A",,"2.7509","2.41","0.47","9.49","15.53","60.20","190.49","","60.39","175.09",""
"005961","博时量化价值股票C",,"1.3547","1.01","1.18","8.02","14.84","28.26","56.79","","27.42","35.47",""
"005960","博时量化价值股票A",,"1.3823","1.02","1.19","8.24","15.31","29.30","59.32","","28.44","38.23",""
"005928","创金合信新能源汽车股票C",,"2.0592","3.93","2.14","46.20","57.72","90.51","129.11","","89.98","105.92",""
"005927","创金合信新能源汽车股票A",,"2.0994","3.94","2.16","46.45","58.27","91.83","132.36","","91.29","109.94",""
"005919","天弘中证500ETF联接C",,"1.1403","1.10","-0.50","2.03","9.79","23.56","55.86","","22.98","14.03",""
"005918","天弘沪深300ETF联接C",,"1.4153","1.37","2.06","10.96","24.77","28.14","74.71","","27.90","41.53",""
"005894","华夏优势精选股票",,"1.9881","3.04","4.13","25.19","23.34","56.25","114.12","","56.04","98.81",""
"005885","金鹰信息产业股票C",,"3.2964","3.47","1.34","33.55","46.24","90.60","209.64","","90.94","220.01",""
"005881","建信上证50ETF联接C",,"1.5375","1.67","2.23","9.84","23.93","24.59","57.40","","24.58","55.80",""
"005880","建信上证50ETF联接A",,"1.5435","1.67","2.25","9.95","24.18","25.08","57.82","","25.08","56.40",""
"005874","建信创业板ETF联接C",,"1.7675","2.88","1.89","11.58","19.42","59.09","121.49","","58.55","76.75",""
"005873","建信创业板ETF联接A",,"1.7766","2.88","1.90","11.69","19.66","59.74","122.35","","59.18","77.66",""
"005870","鹏华沪深300指数增强",,"1.4029","1.45","1.64","10.76","25.99","35.25","75.60","","35.06","40.29",""
"005869","平安MSCI中国A股ETF联接C",,"1.6458","1.52","1.81","11.50","26.39","36.32","85.74","","35.81","64.58",""
"005868","平安MSCI中国A股ETF联接A",,"1.6516","1.52","1.81","11.53","26.45","36.45","86.26","","35.96","65.16",""
"005832","景顺MSCI中国A股国际通联接",,"1.5066","1.60","1.98","12.44","26.95","35.73","81.50","","35.24","50.66",""
"005830","建信MSCI联接C",,"1.5795","1.48","1.79","11.00","23.31","31.00","74.67","","30.50","57.93",""
"005829","建信MSCI联接A",,"1.5976","1.48","1.80","11.11","23.56","31.52","76.20","","31.03","59.74",""
"005826","华夏潜龙精选股票",,"2.1316","3.59","5.15","23.60","36.54","53.37","127.86","","52.81","113.16",""
"005825","申万菱信智能驱动股票",,"2.6927","3.13","1.76","15.14","28.04","65.46","193.55","","64.80","169.27",""
"005814","华安CES港股通ETF联接C",,"1.1052","2.02","1.97","10.90","11.05","6.66","21.32","","7.29","10.52",""
"005813","华安CES港股通ETF联接A",,"1.0944","2.01","1.98","11.01","11.26","7.07","21.76","","7.72","9.44",""
"005804","广发京津冀ETF联接C",,"0.8900","0.19","-1.01","1.66","13.38","10.57","22.52","","10.00","-11.00",""
"005803","广发京津冀ETF联接A",,"0.8949","0.19","-1.01","1.72","13.49","10.80","23.01","","10.21","-10.51",""
"005802","添富智能制造股票",,"1.6660","2.23","2.14","6.18","30.05","49.48","94.54","","49.34","66.60",""
"005795","博时中证500指数增强C",,"1.3420","1.28","-0.02","1.52","11.14","31.56","82.58","","30.97","38.61",""
"005789","南方MSCI中国A股联接C",,"1.7125","1.54","1.84","10.87","28.35","39.70","91.11","","39.16","71.25",""
"005788","南方MSCI中国A股联接A",,"1.7302","1.53","1.85","10.98","28.60","40.26","92.63","","39.71","73.02",""
"005777","广发科技动力股票",,"2.1268","2.42","1.05","7.75","11.09","53.84","158.96","","54.07","112.68",""
"005770","信达澳银中证沪港深高股息精选",,"1.0507","0.33","-1.48","-2.74","4.03","1.32","4.21","","0.82","5.06",""
"005763","中欧电子信息产业沪港深股票C",,"2.2996","2.33","2.25","10.95","15.50","47.36","129.57","","47.37","110.03",""
"005762","招商MSCI中国A股国际ETF联接C",,"1.4837","1.59","1.90","10.34","21.65","29.50","72.38","","29.01","48.37",""
"005761","招商MSCI中国A股国际ETF联接A",,"1.5040","1.59","1.91","10.47","21.96","30.15","74.13","","29.66","50.40",""
"005748","华安MSCI中国A股联接C",,"1.5013","1.36","1.54","8.71","17.48","23.93","60.21","","23.58","50.13",""
"005747","华安MSCI中国A股联接A",,"1.5183","1.37","1.54","8.82","17.73","24.44","61.99","","24.08","51.83",""
"005737","博时上证50ETF联接C",,"1.3560","1.58","2.23","10.52","23.87","22.58","65.27","","22.56","44.67",""
"005735","MSCI中国A股国际通联接C",,"1.3679","1.60","1.92","11.57","22.24","32.92","82.43","","32.45","39.41",""
"005733","华夏上证50ETF联接C",,"1.2265","1.54","2.16","9.70","21.00","17.59","54.67","","17.59","25.67",""
"005727","嘉实中创400ETF联接C",,"1.0944","1.04","-1.01","0.42","5.41","26.61","63.56","","25.91","9.44",""
"005707","富国港股通量化精选股票型",,"1.1077","2.17","2.53","12.34","13.91","8.16","24.42","","8.63","10.77",""
"005702","恒生前海港股通高股息指数",,"0.8572","0.50","1.81","6.15","-1.04","-17.25","-10.43","","-17.08","-14.28",""
"005693","广发中证军工ETF联接C",,"1.1851","2.61","4.07","12.40","42.96","56.78","92.67","","56.49","65.79",""
