"code","name","day","unitNetWorth","dayOfGrowth","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"009007","兴全沪港深两年持有混合",,"1.0586","-0.43","1.40","2.66","5.61","","","","","5.85",""
"009006","创金合信鑫祺混合C",,"1.1646","-0.19","0.54","1.76","11.84","","","","","16.46",""
"009005","创金合信鑫祺混合A",,"1.1674","-0.19","0.55","1.79","11.99","","","","","16.74",""
"009003","中银安康平衡养老三年(FOF)",,"1.0646","0.18","0.72","3.75","5.33","","","","","6.46",""
"008998","同泰竞争优势混合C",,"1.2195","-0.65","3.60","5.16","20.27","","","","","21.95",""
"008997","同泰竞争优势混合A",,"1.2227","-0.66","3.61","5.26","20.51","","","","","22.27",""
"008992","申万菱信安鑫慧选混合C",,"1.2075","-0.31","1.51","3.51","18.22","","","","","20.75",""
"008991","申万菱信安鑫慧选混合A",,"1.2059","-0.30","1.52","3.62","18.47","","","","","20.59",""
"008990","东方红匠心甄选一年持有混合",,"1.0331","","0.32","1.87","4.73","","","","","5.45",""
"008989","大成科技创新混合C",,"1.3568","-0.38","1.47","8.81","27.67","","","","","35.68",""
"008988","大成科技创新混合A",,"1.3602","-0.38","1.48","8.91","27.93","","","","","36.02",""
"008987","广发上海金ETF联接C",,"0.9263","0.72","2.51","-5.84","","","","","","-7.37",""
"008986","广发上海金ETF联接A",,"0.9275","0.72","2.51","-5.76","","","","","","-7.25",""
"008985","东方红启东三年持有混合",,"1.6561","-0.45","1.96","12.95","42.55","","","","","65.61",""
"008984","财通科技创新混合C",,"0.9754","0.03","1.50","1.83","","","","","","-2.46",""
"008983","财通科技创新混合A",,"0.9789","0.03","1.51","2.03","","","","","","-2.11",""
"008981","中邮科技创新精选混合C",,"1.4801","-0.49","0.75","8.30","36.40","","","","","48.01",""
"008980","中邮科技创新精选混合A",,"1.4837","-0.49","0.76","8.38","36.61","","","","","48.37",""
"008979","万家民丰回报一年持有混合",,"1.0854","-0.05","0.39","2.19","8.46","","","","","8.54",""
"008978","银华长丰混合发起式",,"1.6116","-0.12","3.49","11.05","42.80","","","","","61.16",""
"008967","博时成长优选两年封闭混合C",,"1.5139","","3.87","12.34","37.95","","","","","51.39",""
"008966","博时成长优选两年封闭混合A",,"1.5209","","3.88","12.51","38.39","","","","","52.09",""
"008963","建信科技创新混合C",,"1.2390","0.90","5.87","16.77","31.67","","","","","23.90",""
"008962","建信科技创新混合A",,"1.2441","0.88","5.87","16.90","31.99","","","","","24.41",""
"008961","华商科技创新混合",,"1.2809","0.10","2.31","2.82","31.64","","","","","28.09",""
"008960","长信国防军工量化混合C",,"1.3774","0.50","1.66","4.87","46.33","","","","","44.25",""
"008955","交银创新领航混合",,"1.3642","0.44","3.70","6.16","31.87","","","","","36.42",""
"008954","安信价值回报三年持有混合A",,"1.3531","0.25","3.38","8.95","25.19","","","","","35.31",""
"008950","平安匠心优选混合C",,"1.1912","1.22","5.40","8.37","28.24","","","","","43.95",""
"008949","平安匠心优选混合A",,"1.1985","1.22","5.42","8.59","28.76","","","","","44.90",""
"008920","永赢科技驱动C",,"1.2292","-0.44","1.76","4.94","25.57","","","","","22.92",""
"008919","永赢科技驱动A",,"1.2312","-0.44","1.77","4.99","25.70","","","","","23.12",""
"008910","创金合信鑫益混合C",,"1.4139","0.55","3.71","10.76","36.79","","","","","41.39",""
"008909","创金合信鑫益混合A",,"1.4185","0.55","3.72","10.86","37.07","","","","","41.85",""
"008906","嘉合锦鹏添利混合C",,"0.9950","0.10","0.27","0.62","1.56","","","","","-0.50",""
"008905","嘉合锦鹏添利混合A",,"0.9975","0.10","0.28","0.72","1.75","","","","","-0.25",""
"008903","广发科技先锋混合",,"1.4146","1.19","4.24","5.44","21.79","","","","","41.46",""
"008901","富国内需增长混合",,"1.5856","-0.60","3.12","11.77","37.71","","","","","58.56",""
"008895","申万菱信量化对冲策略混合",,"1.0551","0.23","-0.06","0.74","5.13","","","","","5.51",""
"008894","创金合信鑫利混合C",,"1.2202","0.42","1.71","5.06","18.09","","","","","22.02",""
"008893","创金合信鑫利混合A",,"1.2247","0.42","1.72","5.17","18.32","","","","","22.47",""
"008892","安信价值成长混合C",,"1.5258","0.67","4.90","13.20","37.68","","","","","52.58",""
"008891","安信价值成长混合A",,"1.5304","0.67","4.91","13.31","37.96","","","","","53.04",""
"008886","民生卓越配置6个月混合(FOF)",,"1.1145","0.39","0.76","2.77","8.82","","","","","11.45",""
"008885","博远博锐混合C",,"0.9221","-0.76","0.95","-4.77","","","","","","-7.79",""
"008884","博远博锐混合A",,"0.9238","-0.76","0.96","-4.66","","","","","","-7.62",""
"008867","博时产业新趋势混合C",,"1.1438","0.14","2.94","6.03","13.65","","","","","14.38",""
"008866","博时产业新趋势混合A",,"1.1496","0.15","2.96","6.19","13.99","","","","","14.96",""
"008861","西部利得港股通新机遇混合A",,"1.0701","-0.89","2.01","7.61","","","","","","7.01",""
"008856","华夏安泰对冲策略3个月定开混合",,"0.9920","-0.03","-0.04","-1.99","-0.79","","","","","-0.80",""
"008851","景顺长城量化对冲策略三个月定开",,"1.0115","0.25","0.30","-0.96","0.42","","","","","1.15",""
"008850","景顺长城价值稳进定开混合",,"1.0419","-0.42","1.11","2.24","","","","","","4.19",""
"008847","大成民稳增长混合C",,"1.0733","-0.15","0.36","2.54","7.47","","","","","7.33",""
"008846","大成民稳增长混合A",,"1.0771","-0.15","0.36","2.66","7.73","","","","","7.71",""
"008843","同泰远见混合C",,"0.9998","0.41","1.14","-0.29","","","","","","-0.02",""
"008842","同泰远见混合A",,"1.0010","0.42","1.16","-0.18","","","","","","0.10",""
"008841","德邦大消费混合C",,"1.2539","-0.70","1.44","8.12","25.39","","","","","25.39",""
"008840","德邦大消费混合A",,"1.2554","-0.70","1.44","8.19","25.54","","","","","25.54",""
"008839","德邦量化对冲混合C",,"1.0111","0.30","-0.26","-0.16","1.05","","","","","1.11",""
"008838","德邦量化对冲混合A",,"1.0126","0.29","-0.26","-0.10","1.17","","","","","1.26",""
"008836","富国量化三个月持有期混合C",,"0.9865","0.10","0.23","-1.02","-1.03","","","","","-1.35",""
"008835","富国量化三个月持有期混合A",,"0.9897","0.10","0.23","-0.93","-0.84","","","","","-1.03",""
"008834","银华汇盈一年持有期混合C",,"1.0322","0.00","0.26","0.92","2.71","","","","","3.21",""
"008833","银华汇盈一年持有期混合A",,"1.0353","0.00","0.27","1.02","2.91","","","","","3.52",""
"008831","海富通安益对冲混合A",,"1.0274","0.12","0.28","-1.05","1.64","","","","","2.74",""
"008830","海富通安益对冲混合C",,"1.0235","0.12","0.27","-1.16","1.42","","","","","2.35",""
"008828","建信易盛郑商所能源化工期货ETF联接C",,"1.1213","1.61","1.80","","","","","","","12.13",""
"008827","建信易盛郑商所能源化工期货ETF联接A",,"1.1221","1.62","1.81","","","","","","","12.21",""
"008819","农银汇理策略趋势混合",,"1.4125","-0.35","3.51","10.51","26.40","","","","","41.25",""
"008811","鹏华科技创新混合",,"1.3963","-0.31","2.47","12.36","30.52","","","","","39.63",""
"008795","海富通阿尔法对冲混合C",,"1.1430","0.09","0.26","-1.47","-0.17","","","","","2.05",""
"008794","博道嘉元混合C",,"1.4493","0.14","3.94","14.98","35.21","","","","","44.93",""
"008793","博道嘉元混合A",,"1.4551","0.14","3.96","15.13","35.56","","","","","45.51",""
"008786","长城健康生活灵活配置混合",,"1.0302","0.05","2.26","3.99","","","","","","3.01",""
"008773","中银景泰回报混合",,"1.0213","0.16","1.10","1.67","","","","","","2.13",""
"008755","泰康睿福3月持有混合(FOF)C",,"1.2390","0.75","1.61","9.05","19.43","","","","","23.90",""
"008754","泰康睿福3月持有混合(FOF)A",,"1.2440","0.75","1.62","9.21","19.79","","","","","24.40",""
"008753","大成兴享平衡养老三年(FOF)",,"1.0574","0.12","1.05","1.99","","","","","","5.74",""
"008734","交银科锐科技创新混合",,"1.2664","-0.12","1.83","1.52","16.89","","","","","26.64",""
