"编号","名称","日期","净值","名称","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"202015","南方沪深300联接基金A","2020-12-04","2.0299","0.17","1.65","6.51","31.81","37.29","65.18","38.28","29.34","131.53",""
"200002","长城久泰沪深300指数A","2020-12-04","2.4121","0.10","1.43","5.72","27.66","36.13","67.92","41.09","28.39","532.91",""
"180003","银华-道琼斯88指数A","2020-12-04","1.7859","1.37","2.99","5.75","40.57","45.86","75.80","47.80","36.62","668.41",""
"168702","合煦智远金融科技指数(LOF)C","2020-12-04","1.1077","-0.68","3.21","-4.06","7.39","","","","","10.77",""
"168701","合煦智远金融科技指数(LOF)A","2020-12-04","1.1114","-0.68","3.21","-3.95","7.65","","","","","11.14",""
"168205","中融中证银行指数(LOF)","2020-12-04","1.1090","-1.16","-0.09","11.53","22.34","16.71","32.04","23.18","12.13","21.32",""
"168204","中融中证煤炭指数分级","2020-12-04","0.9690","-0.72","-1.42","12.41","31.30","17.62","14.95","-15.58","10.87","-28.88",""
"168203","中融国证钢铁行业指数分级","2020-12-04","0.9780","-0.31","-2.00","7.24","18.69","17.77","6.78","-32.38","12.16","-59.31",""
"168001","国寿安保中证养老产业","2020-12-04","1.3288","0.64","4.39","-2.92","23.81","48.04","35.25","11.00","39.55","-8.76",""
"167706","德邦量化新锐股票C","2020-12-04","1.3195","0.17","0.97","-1.13","20.57","37.15","64.59","","28.59","31.92",""
"167705","德邦量化新锐股票A","2020-12-04","1.3287","0.17","0.98","-1.07","20.71","37.49","65.41","","28.89","32.84",""
"167703","德邦量化优选股票(LOF)C","2020-12-04","1.6757","-0.15","1.02","1.31","26.17","45.34","82.22","57.46","35.51","83.42",""
"167702","德邦量化优选股票(LOF)A","2020-12-04","1.7071","-0.15","1.03","1.37","26.32","45.71","83.26","59.15","35.84","86.57",""
"167601","国金沪深300指数增强","2020-12-04","1.2088","0.52","2.03","3.14","28.65","28.11","44.28","14.35","22.31","104.91",""
"167507","安信深圳科技指数(LOF)C","2020-12-04","1.4333","0.69","2.12","-0.23","22.08","","","","41.43","43.33",""
