"编号","名称","日期","净值","名称","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"007159","南方稳健养老(FOF)A","2020-12-02","1.1551","-0.03","0.83","0.92","9.17","12.10","","","10.45","15.51",""
"007090","海富通养老混合(FOF)","2020-12-02","1.1472","0.02","0.54","0.38","6.00","11.52","","","9.56","14.72",""
"007071","博时颐泽稳健养老(FOF)C","2020-12-02","1.1458","-0.07","0.74","1.25","7.47","14.37","","","12.30","14.58",""
"007070","博时颐泽稳健养老(FOF)A","2020-12-02","1.1557","-0.07","0.75","1.38","7.75","14.95","","","12.83","15.57",""
"007060","汇添富养老2050混合(FOF)","2020-12-02","1.4759","-0.26","0.81","-1.24","22.66","38.28","","","31.50","47.59",""
"007059","汇添富养老2040五年持有混合(FOF)","2020-12-02","1.4951","-0.19","1.08","-0.70","23.73","39.14","","","32.97","49.51",""
"006991","民生加银康宁养老(FOF)","2020-12-03","1.1925","0.03","1.03","1.34","8.28","13.90","","","11.53","19.25",""
"006918","国联安安享稳健养老(FOF)","2020-12-03","1.1328","-0.04","0.55","1.48","6.32","10.36","","","8.55","13.28",""
"006895","兴业养老2035(FOF)C","2020-12-02","1.2280","-0.06","1.24","-0.63","14.81","22.62","","","19.34","22.80",""
"006894","兴业养老2035(FOF)A","2020-12-02","1.2307","-0.06","1.25","-0.53","15.04","23.09","","","19.78","23.07",""
"006891","华夏养老2050五年(FOF)","2020-12-02","1.4666","-0.05","1.25","0.67","18.60","33.24","","","26.91","46.66",""
"006886","工银养老2050混合(FOF)","2020-12-02","1.4859","-0.11","1.65","2.10","25.40","44.51","","","35.87","48.59",""
"006880","交银安享稳健养老一年(FOF)","2020-12-02","1.1244","0.00","0.46","0.10","5.05","9.55","","","8.52","12.44",""
"006876","国投瑞银稳健养老(FOF)","2020-12-02","1.1417","-0.07","0.43","0.35","8.69","15.81","","","13.51","19.07",""
"006873","长信颐天平衡养老(FOF)C","2020-12-02","1.2282","0.11","1.61","0.15","13.43","22.57","","","21.32","22.82",""
"006872","长信颐天平衡养老(FOF)A","2020-12-02","1.2296","0.11","1.61","0.16","13.47","22.69","","","21.43","22.96",""
"006862","招商和悦稳健养老(FOF)C","2020-12-02","1.1680","-0.15","0.42","-0.50","4.82","12.81","","","10.39","16.80",""
"006861","招商和悦稳健养老(FOF)A","2020-12-02","1.1774","-0.15","0.43","-0.38","5.08","13.38","","","10.90","17.74",""
"006860","易方达汇诚养老2038(FOF)","2020-12-02","1.2798","0.02","0.95","2.30","16.37","21.50","","","17.59","27.98",""
"006859","易方达汇诚养老2033(FOF)","2020-12-02","1.2235","0.05","0.91","2.09","14.52","19.34","","","17.60","22.36",""
"006763","汇添富养老2030混合(FOF)","2020-12-02","1.3649","-0.28","1.21","-0.34","16.40","28.32","","","23.24","36.49",""
"006623","华夏养老2035(FOF)C","2020-12-02","1.2610","-0.05","1.30","0.33","16.64","24.33","","","22.81","26.10",""
"006622","华夏养老2035(FOF)A","2020-12-02","1.2691","-0.05","1.30","0.43","16.87","24.83","","","23.26","26.91",""
"006621","华夏养老2045(FOF)C","2020-12-02","1.5361","-0.12","1.43","0.75","24.85","46.83","","","39.10","53.61",""
"006620","华夏养老2045(FOF)A","2020-12-02","1.5462","-0.12","1.44","0.85","25.09","47.41","","","39.60","54.62",""
"006581","建信优享稳健养老(FOF)","2020-12-02","1.1352","-0.04","0.43","0.19","6.69","12.89","","","10.69","17.23",""
"006580","兴全安泰养老三年(FOF)","2020-12-02","1.5090","-0.01","1.06","2.56","18.09","30.34","","","24.63","50.90",""
"006575","华安养老2030三年(FOF)","2020-12-02","1.2003","-0.06","0.68","-0.66","10.86","17.82","","","13.88","20.03",""
"006507","前海开源裕泽(FOF)","2020-12-03","1.1604","","0.93","-2.72","6.58","12.68","16.03","","7.10","16.04",""
"006322","中欧预见养老2035(FOF)C","2020-12-02","1.4942","-0.05","1.34","2.54","16.83","30.53","48.46","","25.61","49.42",""
"006321","中欧预见养老2035(FOF)A","2020-12-02","1.5070","-0.05","1.34","2.64","17.06","31.05","49.64","","26.06","50.70",""
"006307","嘉实养老2040混合(FOF)","2020-12-02","1.4670","-0.09","2.95","3.08","23.33","41.29","","","33.74","46.70",""
"006306","泰达宏利泰和平衡养老(FOF)","2020-12-02","1.3344","-0.07","0.95","2.02","18.13","26.12","33.17","","22.29","33.44",""
"006305","银华尊和养老2035混合(FOF)","2020-12-02","1.4237","-0.04","1.15","-1.16","17.08","31.53","","","26.82","42.37",""
"006303","中银养老一年定开(FOF)","2020-11-27","1.1531","","-0.13","1.11","5.56","11.74","","","9.90","15.59",""
"006298","广发稳健养老(FOF)","2020-12-02","1.1444","0.01","0.59","0.15","8.66","13.29","","","10.73","19.84",""
"006297","富国鑫旺稳健养老(FOF)","2020-12-02","1.1180","0.03","0.38","0.04","3.50","7.63","","","6.47","13.18",""
"006296","鹏华养老2035混合(FOF)","2020-12-02","1.3452","-0.08","0.64","-2.55","9.79","24.47","","","20.68","34.52",""
"006295","工银养老2035(FOF)","2020-12-02","1.4298","-0.01","1.50","2.91","19.68","33.51","42.58","","27.63","42.98",""
"006294","万家稳健养老(FOF)","2020-12-02","1.1650","-0.01","0.60","0.94","7.34","11.12","","","9.12","16.50",""
"006292","易方达汇诚养老2043混合(FOF)","2020-12-02","1.3448","0.03","1.15","2.38","16.14","24.93","","","21.45","34.48",""
"006291","南方养老2035(FOF)C","2020-12-02","1.4875","-0.03","1.32","3.63","23.40","33.52","48.36","","28.44","48.75",""
"006290","南方养老2035(FOF)A","2020-12-02","1.4999","-0.03","1.33","3.73","23.65","34.05","49.56","","28.92","49.99",""
"006289","华夏养老2040(FOF)","2020-12-02","1.4053","-0.06","0.73","0.88","16.45","31.40","41.74","","25.66","42.06",""
"006245","嘉实养老2030混合(FOF)","2020-12-02","1.3699","-0.07","2.41","2.78","18.79","32.82","","","26.54","36.99",""
"006042","上投摩根尚睿混合(FOF)","2020-12-02","1.3922","-0.13","1.69","0.20","14.35","23.00","40.51","","16.43","39.22",""
"005980","南方合顺多资产(FOF)C","2020-12-02","1.4481","-0.23","1.48","0.52","21.79","36.64","","","30.68","44.81",""
"005979","南方合顺多资产(FOF)A","2020-12-02","1.4590","-0.22","1.49","0.62","22.03","37.18","","","31.16","45.90",""
"005976","长信稳进资产配置(FOF)","2020-12-03","1.2313","-0.17","0.92","1.31","12.31","17.34","24.54","","16.33","27.71",""
"005958","华夏聚丰混合(FOF)C","2020-12-02","1.2447","-0.18","1.47","-0.16","22.93","22.22","24.36","","20.18","24.47",""
"005957","华夏聚丰混合(FOF)A","2020-12-02","1.2471","-0.18","1.46","-0.15","22.95","22.26","24.56","","20.23","24.71",""
